origin,target_time,nominal_lead_h,reasons
2026-07-01T15:00:00-03:00,2026-07-02T03:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-01T17:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T16:00:00-03:00,2026-07-01T18:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T16:00:00-03:00,2026-07-01T19:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T16:00:00-03:00,2026-07-01T20:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-01T21:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-01T22:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-01T23:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-02T00:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-02T01:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-02T02:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-02T03:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T16:00:00-03:00,2026-07-02T04:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-01T18:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T17:00:00-03:00,2026-07-01T19:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T17:00:00-03:00,2026-07-01T20:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T17:00:00-03:00,2026-07-01T21:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-01T22:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-01T23:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T00:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T01:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T02:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T03:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T04:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T17:00:00-03:00,2026-07-02T05:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-01T19:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T18:00:00-03:00,2026-07-01T20:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T18:00:00-03:00,2026-07-01T21:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T18:00:00-03:00,2026-07-01T22:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-01T23:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T00:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T01:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T02:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T03:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T04:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T05:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T18:00:00-03:00,2026-07-02T06:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-01T20:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T19:00:00-03:00,2026-07-01T21:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T19:00:00-03:00,2026-07-01T22:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T19:00:00-03:00,2026-07-01T23:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T00:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T01:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T02:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T03:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T04:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T05:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T06:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T19:00:00-03:00,2026-07-02T07:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-01T21:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T20:00:00-03:00,2026-07-01T22:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T20:00:00-03:00,2026-07-01T23:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T20:00:00-03:00,2026-07-02T00:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T01:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T02:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T03:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T04:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T05:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T06:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T07:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T20:00:00-03:00,2026-07-02T08:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-01T22:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T21:00:00-03:00,2026-07-01T23:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T21:00:00-03:00,2026-07-02T00:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T21:00:00-03:00,2026-07-02T01:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T02:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T03:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T04:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T05:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T06:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T07:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T08:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T21:00:00-03:00,2026-07-02T09:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-01T23:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T22:00:00-03:00,2026-07-02T00:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T22:00:00-03:00,2026-07-02T01:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T22:00:00-03:00,2026-07-02T02:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T03:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T04:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T05:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T06:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T07:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T08:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T09:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T22:00:00-03:00,2026-07-02T10:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T00:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T23:00:00-03:00,2026-07-02T01:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T23:00:00-03:00,2026-07-02T02:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-01T23:00:00-03:00,2026-07-02T03:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T04:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T05:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T06:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T07:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T08:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T09:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T10:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-01T23:00:00-03:00,2026-07-02T11:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T01:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T00:00:00-03:00,2026-07-02T02:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T00:00:00-03:00,2026-07-02T03:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T00:00:00-03:00,2026-07-02T04:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T05:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T06:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T07:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T08:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T09:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T10:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T11:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T00:00:00-03:00,2026-07-02T12:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T02:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T01:00:00-03:00,2026-07-02T03:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T01:00:00-03:00,2026-07-02T04:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T01:00:00-03:00,2026-07-02T05:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T06:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T07:00:00-03:00,6,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T08:00:00-03:00,7,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T09:00:00-03:00,8,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T10:00:00-03:00,9,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T11:00:00-03:00,10,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T12:00:00-03:00,11,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T01:00:00-03:00,2026-07-02T13:00:00-03:00,12,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T02:00:00-03:00,2026-07-02T03:00:00-03:00,1,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T02:00:00-03:00,2026-07-02T04:00:00-03:00,2,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T02:00:00-03:00,2026-07-02T05:00:00-03:00,3,carreiro:anchor_history_missing|carreiro:forecast_history_missing
2026-07-02T02:00:00-03:00,2026-07-02T06:00:00-03:00,4,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
2026-07-02T02:00:00-03:00,2026-07-02T07:00:00-03:00,5,carreiro:anchor_history_missing|carreiro:forecast_history_missing|carreiro:known_base_missing
